input_ids,labels
"[822, 10, 125, 33, 128, 1709, 757, 3629, 887, 54, 240, 12, 1961, 70, 533, 58, 1]","[4047, 54, 1961, 70, 533, 57, 4693, 53, 1695, 4026, 8966, 224, 38, 3182, 3, 9, 8965, 3178, 6, 7007, 16, 1646, 1722, 1756, 6, 652, 3860, 691, 18, 413, 7, 11, 7468, 7, 6, 5037, 2189, 1425, 6, 14355, 1346, 3, 7, 994, 6, 3, 16217, 16025, 11, 10981, 4798, 169, 6, 11, 9932, 70, 1133, 45, 8, 1997, 5, 1]"
"[822, 10, 54, 2779, 26524, 7, 11, 14387, 15, 7, 2603, 8, 6537, 13, 1076, 6159, 138, 4640, 58, 1]","[2163, 6, 26524, 7, 11, 14387, 15, 7, 54, 991, 12, 20298, 81, 1742, 31, 1076, 6159, 138, 2869, 11, 11177, 6, 3, 13403, 8, 463, 13, 124, 937, 5, 1]"
"[822, 10, 125, 1075, 405, 3, 10656, 257, 577, 16, 1076, 6159, 138, 533, 58, 1]","[8026, 53, 3, 23935, 54, 199, 18807, 15, 3, 4672, 1014, 11, 380, 1879, 168, 18, 9032, 383, 1076, 6159, 257, 5, 1]"
"[822, 10, 125, 130, 128, 2779, 21500, 15, 7, 24, 3, 9, 8115, 1918, 1076, 6159, 138, 2869, 383, 6718, 23, 138, 3356, 58, 1]","[13432, 21500, 15, 7, 3, 9, 8115, 116, 6718, 23, 138, 5779, 13090, 12, 3, 12436, 3782, 1076, 6159, 138, 20105, 2443, 2400, 19771, 11683, 6, 30104, 53, 42, 25852, 17, 2610, 1435, 1076, 6159, 138, 2869, 11, 11393, 5, 1]"
"[822, 10, 149, 54, 2779, 22368, 11, 3, 13398, 1172, 1076, 6159, 138, 533, 14418, 58, 1]","[938, 3, 22873, 11, 1445, 53, 2399, 11393, 11, 2869, 3825, 1076, 6159, 257, 5, 1]"
"[822, 10, 149, 186, 477, 274, 1076, 6159, 257, 54, 554, 904, 6159, 138, 12398, 41, 2028, 7, 61, 3976, 456, 58, 1]","[3246, 134, 3976, 54, 456, 12, 6571, 3461, 45, 209, 12, 204, 1274, 274, 1076, 6159, 257, 4396, 5, 1]"
"[822, 10, 54, 2353, 7, 577, 3, 9, 1075, 16, 3, 23251, 70, 16649, 81, 1076, 6159, 138, 533, 58, 1]","[2163, 6, 2353, 7, 54, 4139, 12, 70, 16649, 31, 1073, 57, 1260, 4034, 251, 81, 1076, 6159, 257, 6, 20105, 2869, 6, 11, 1076, 6159, 138, 533, 758, 5, 1]"
"[822, 10, 149, 405, 1076, 6159, 257, 27806, 28, 7285, 18, 390, 4756, 16, 20386, 3803, 58, 1]","[7363, 592, 12, 1076, 6159, 138, 494, 11, 1346, 2465, 54, 993, 21279, 12, 3, 14475, 11, 6263, 5, 1]"
"[822, 10, 125, 19, 8, 1348, 8659, 13, 3, 9, 1076, 6159, 138, 1059, 4005, 21, 167, 887, 58, 1]","[37, 1348, 8659, 13, 3, 9, 1076, 6159, 138, 1059, 4005, 21, 167, 887, 19, 300, 305, 12, 489, 239, 1]"
"[822, 10, 54, 2136, 13, 6949, 533, 1073, 4139, 12, 28518, 7, 81, 1076, 6159, 257, 58, 1]","[2163, 6, 1817, 6391, 11, 2136, 13, 1073, 164, 31324, 342, 9735, 7, 11, 3808, 32, 32, 7, 3825, 1076, 6159, 257, 5, 1]"
"[822, 10, 149, 103, 2779, 18537, 1587, 1076, 6159, 257, 27806, 28, 11881, 13599, 8378, 2197, 58, 1]","[13432, 3808, 32, 32, 7, 164, 3, 31488, 12447, 11, 4220, 60, 75, 63, 3825, 1076, 6159, 257, 6, 3, 13403, 592, 12, 1438, 16, 18777, 1601, 2597, 5, 1]"
"[822, 10, 572, 103, 128, 1742, 351, 12085, 7, 42, 26043, 7, 383, 1076, 6159, 257, 58, 1]","[3642, 14693, 42, 26043, 7, 383, 1076, 6159, 257, 164, 36, 3, 18728, 57, 27925, 1112, 6, 23460, 1014, 31121, 11, 813, 397, 1370, 782, 1425, 6, 2189, 6, 20, 10656, 257, 6, 42, 1112, 16, 142, 2719, 106, 77, 1425, 5, 1]"
"[822, 10, 125, 19, 8, 1348, 8659, 13, 3, 9, 1076, 6159, 138, 1059, 21, 841, 338, 27925, 3879, 610, 58, 1]","[37, 1348, 8659, 13, 3, 9, 1076, 6159, 138, 1059, 21, 841, 338, 27925, 3879, 610, 19, 557, 10951, 6, 300, 204, 12, 489, 477, 5, 1]"
"[822, 10, 125, 19, 8, 1657, 21, 8, 3973, 3976, 1906, 383, 8, 3, 18453, 138, 3944, 58, 1]","[1266, 904, 6159, 138, 12398, 41, 6218, 134, 137, 1]"
"[822, 10, 125, 19, 8, 3172, 13, 9834, 1780, 274, 11, 227, 2839, 1076, 6159, 138, 494, 58, 1]","[1266, 2169, 7, 8, 3060, 13, 8710, 11, 13315, 5, 1]"
"[822, 10, 572, 103, 128, 1742, 351, 1076, 6159, 138, 24268, 7, 383, 70, 1059, 58, 1]","[3137, 6159, 138, 24268, 7, 6, 92, 801, 38, 16633, 904, 127, 52, 88, 9, 6, 4093, 788, 12, 8, 26414, 13, 8, 3, 10525, 302, 38, 34, 12478, 7, 165, 3, 9424, 383, 1076, 6159, 257, 5, 18840, 26, 1425, 13, 7796, 2408, 1618, 2644, 7, 6, 11932, 18, 2376, 14072, 6, 4139, 12, 3, 10525, 630, 5467, 26414, 7, 11, 1406, 1]"
"[822, 10, 149, 54, 3472, 6985, 2519, 1076, 31, 7, 9683, 16, 1076, 6159, 138, 533, 58, 1]","[938, 3, 14198, 9735, 7, 11, 28518, 7, 6, 3, 7312, 1705, 6, 11, 3, 19465, 8, 3172, 13, 1076, 31, 7, 380, 5, 1]"
"[822, 10, 54, 1076, 6159, 257, 1113, 12217, 821, 58, 1]","[2163, 6, 1076, 6159, 257, 54, 1113, 12217, 821, 788, 12, 29469, 16, 11932, 1425, 11, 1112, 16, 827, 1425, 6, 23085, 6, 11, 13954, 383, 315, 17258, 13, 8, 1076, 6159, 138, 4005, 5, 1]"
"[822, 10, 125, 130, 128, 1017, 16493, 20203, 21, 1076, 6159, 138, 10461, 58, 1]","[11816, 15, 2165, 20203, 1285, 18543, 975, 509, 4985, 7, 6, 1717, 8035, 6, 11, 14394, 12, 15528, 7, 6, 19124, 3, 9, 4764, 13, 12702, 322, 15, 6, 1355, 7, 17, 4749, 6, 11, 778, 1035, 2869, 5, 1]"
"[822, 10, 125, 1075, 405, 6940, 1543, 577, 16, 3, 14198, 1076, 6159, 138, 533, 58, 1]","[71, 12758, 11, 13066, 1543, 54, 11313, 1705, 11, 6432, 21, 1076, 6159, 138, 523, 5, 1]"
"[822, 10, 125, 33, 8, 1017, 3976, 13, 1076, 32, 9033, 58, 1]","[7155, 3976, 13, 1076, 32, 9033, 560, 1312, 4923, 15, 7, 6, 706, 10242, 7, 6, 409, 19604, 40, 2192, 655, 6, 6526, 7180, 7, 6, 2085, 25595, 7, 6, 11, 1112, 16, 3, 6856, 23, 26, 32, 5, 506, 3976, 33, 2953, 57, 27925, 29469, 6, 1989, 24772, 31121, 1425, 5, 1]"
"[822, 10, 149, 103, 2779, 11393, 81, 1076, 6159, 257, 2860, 592, 12, 1073, 11, 4640, 16, 128, 2597, 58, 1]","[3, 13133, 164, 31324, 342, 25852, 11, 2006, 592, 12, 1438, 11, 251, 5, 1]"
"[822, 10, 125, 19, 1076, 6159, 257, 58, 1]","[3137, 6159, 257, 6, 92, 801, 38, 3, 9, 1059, 6, 19, 3, 9, 793, 433, 16, 84, 8, 3, 9424, 13, 8, 3, 10525, 302, 19, 12478, 190, 409, 19604, 40, 19021, 5, 94, 19, 3, 9, 1389, 294, 13, 8, 1076, 6159, 138, 4005, 16, 27820, 18, 545, 3955, 7, 5, 1]"
"[822, 10, 125, 33, 8, 307, 18, 1987, 533, 12418, 13, 1076, 32, 9033, 58, 1]","[3137, 32, 9033, 19, 1968, 28, 46, 1936, 1020, 13, 23026, 102, 32, 1859, 159, 6, 842, 1994, 6, 11, 824, 1308, 13, 1874, 6, 379, 6748, 1874, 5, 94, 19, 359, 21, 887, 12, 1961, 3, 9, 1695, 4026, 6, 379, 1646, 2510, 11, 3, 9, 8965, 3178, 6, 12, 1428, 175, 5217, 5, 1]"
"[822, 10, 149, 405, 1646, 1722, 1756, 1656, 3567, 383, 1076, 7064, 15, 58, 1]","[17116, 1722, 1756, 383, 1076, 7064, 15, 1691, 1961, 3, 9, 1695, 1293, 6, 8726, 7, 12432, 6, 1428, 7, 2189, 6, 1172, 7, 6526, 6, 11, 2519, 7, 1879, 168, 18, 9032, 5, 27246, 53, 16, 1087, 224, 38, 2100, 6, 10410, 6, 6325, 6, 42, 3214, 54, 36, 6473, 5, 1]"
"[822, 10, 125, 19, 3, 9, 1389, 1076, 6159, 138, 4005, 2475, 58, 1]","[71, 1389, 1076, 6159, 138, 4005, 3115, 620, 7, 45, 1401, 12, 3097, 477, 6, 28, 8, 1348, 4005, 10139, 300, 2059, 477, 5, 1]"
"[822, 10, 125, 33, 128, 359, 3379, 13, 3, 9, 3452, 1076, 6159, 138, 533, 1773, 58, 1]","[7526, 18, 18591, 342, 1073, 6, 3, 14198, 12447, 11, 3808, 32, 32, 7, 6, 3, 5833, 592, 12, 1076, 6159, 138, 1438, 11, 549, 21337, 41, 28632, 6, 1051, 155, 257, 6, 11, 5555, 122, 15067, 61, 2465, 6, 11, 1260, 9289, 1076, 6159, 138, 1406, 4956, 33, 4462, 3379, 13, 3, 9, 3452, 1076, 6159, 138, 533, 1773, 5, 1]"
"[822, 10, 125, 33, 128, 3058, 1275, 21, 3, 14198, 1076, 6159, 138, 20105, 523, 16, 14330, 15, 15926, 11, 20386, 8596, 7, 58, 1]","[7730, 560, 3, 26962, 1076, 6159, 138, 12294, 6, 3, 28147, 10366, 17484, 6, 11, 5086, 1076, 6159, 138, 494, 6, 590, 28, 3, 10311, 573, 18, 1361, 30525, 6985, 11, 1156, 20105, 3173, 5, 1]"
"[822, 10, 125, 19, 1076, 6159, 138, 20105, 758, 41, 51, 107, 51, 61, 58, 1]","[3137, 6159, 138, 5555, 122, 15067, 2159, 41, 20131, 329, 61, 2401, 7, 12, 8, 2869, 11, 2465, 906, 12, 766, 24, 1076, 6159, 1014, 1742, 54, 1865, 70, 1076, 6159, 257, 28, 21377, 6, 379, 592, 12, 1076, 6159, 138, 494, 6, 2757, 30525, 2465, 6, 11, 1073, 81, 1076, 6159, 138, 20105, 5, 1]"
"[822, 10, 125, 33, 128, 3, 16640, 3266, 21, 5037, 1017, 1076, 6159, 138, 3976, 58, 1]","[262, 1014, 422, 6, 8325, 5418, 6, 3, 5503, 3136, 11963, 6, 11, 3, 18218, 1181, 18, 15329, 4371, 54, 199, 1865, 3976, 114, 3, 4672, 1014, 11, 6526, 7180, 7, 5, 1]"
"[822, 10, 33, 132, 775, 2428, 12, 592, 53, 1076, 6159, 138, 494, 21, 3017, 122, 3868, 1076, 11, 529, 18, 4517, 1208, 1742, 58, 1]","[2163, 6, 379, 25852, 6, 2136, 13, 12435, 6, 11, 1643, 5576, 13, 13066, 494, 5, 1]"
"[822, 10, 149, 54, 20386, 2371, 766, 2779, 120, 2016, 1076, 6159, 138, 533, 1073, 16, 2399, 3803, 58, 1]","[9139, 7, 11194, 28, 415, 3222, 6, 4082, 573, 2440, 6, 11, 6300, 2779, 2869, 11, 11393, 139, 1076, 6159, 138, 533, 1073, 1397, 11, 6985, 1]"
"[822, 10, 125, 19, 8, 1348, 8659, 13, 3, 9, 1076, 6159, 138, 1059, 4005, 21, 167, 887, 58, 1]","[37, 1348, 8659, 13, 3, 9, 1076, 6159, 138, 1059, 4005, 21, 167, 887, 19, 300, 305, 12, 489, 239, 1]"
"[822, 10, 149, 405, 2779, 22368, 16, 1076, 6159, 138, 4640, 4139, 12, 1868, 2019, 11, 5044, 58, 1]","[13432, 22368, 11313, 7, 2019, 57, 3, 20968, 1445, 21, 1221, 31, 2779, 11393, 11, 2620, 6, 1374, 12, 3798, 1868, 5044, 28, 4640, 364, 5, 1]"
"[822, 10, 125, 33, 128, 1435, 20203, 42, 12898, 7, 1968, 28, 1076, 6159, 257, 16, 19771, 9757, 58, 1]","[1347, 3849, 20203, 6, 25934, 6, 11, 12898, 7, 12, 2519, 1]"
"[822, 10, 125, 33, 128, 1017, 1076, 6159, 138, 10461, 58, 1]","[886, 1017, 1076, 6159, 138, 10461, 560, 16633, 904, 127, 52, 88, 9, 41, 904, 6159, 138, 24268, 7, 201, 1076, 127, 52, 107, 6623, 9, 41, 88, 19649, 1076, 6159, 138, 19021, 201, 183, 35, 127, 52, 88, 9, 41, 23767, 13, 1076, 6159, 257, 201, 11, 4251, 75, 63, 7, 1225, 3, 6194, 651, 12398, 41, 4051, 3638, 137, 1]"
"[822, 10, 149, 65, 1125, 30241, 11, 569, 783, 5357, 118, 11411, 441, 887, 31, 7, 2166, 9780, 12, 1115, 1076, 6159, 138, 533, 807, 58, 1]","[4190, 30241, 11, 569, 783, 5357, 43, 118, 261, 12, 3033, 4349, 6, 698, 525, 2704, 6, 11, 26169, 15, 380, 21, 1076, 6159, 138, 8408, 6985, 6, 11483, 40, 8587, 8, 13256, 13, 1076, 6159, 6230, 11, 3, 22235, 16830, 2231, 5, 1]"
"[822, 10, 149, 130, 1076, 6159, 138, 10461, 14057, 11, 4260, 16, 554, 18, 18306, 14864, 2710, 58, 1]","[3137, 6159, 138, 10461, 130, 557, 3, 4931, 38, 3957, 13, 13429, 19372, 42, 340, 4554, 8244, 6, 1374, 12, 5872, 24, 620, 26, 45, 4761, 12898, 7, 12, 18543, 20203, 5, 1]"
"[822, 10, 125, 19, 3, 9, 1695, 1076, 6159, 138, 4005, 58, 1]","[3, 9, 1695, 1076, 6159, 138, 4005, 19, 4802, 38, 578, 1076, 6159, 138, 15164, 10139, 1401, 104, 2469, 477, 6, 3, 9, 1076, 6159, 138, 4005, 12338, 13, 305, 104, 940, 477, 3, 22286, 6, 1076, 6159, 138, 2537, 383, 204, 104, 940, 477, 6, 11, 19021, 344, 944, 104, 2079, 3, 51, 40, 399, 1076, 6159, 257, 5, 1]"
"[822, 10, 125, 1075, 103, 4640, 3580, 577, 16, 3, 14198, 1076, 6159, 138, 533, 21, 3, 40, 122, 115, 17, 1824, 1220, 1742, 58, 1]","[328, 54, 370, 11153, 53, 11, 13066, 124, 6, 11051, 12, 928, 523, 11, 26203, 5, 1]"
